DateTime,Open,High,Low,Close,Volume,oi,Symbol
2003-01-02,883.0,909.75,882.5,907.5,420673,210665,@ES#
2003-01-03,907.5,910.75,901.75,910.0,541638,200195,@ES#
2003-01-06,911.0,931.5,903.75,926.5,670619,238281,@ES#
2003-01-07,926.0,930.5,918.75,923.75,642336,237858,@ES#
2003-01-08,923.75,923.75,907.25,910.0,618017,234635,@ES#
2003-01-09,910.25,928.5,908.0,924.75,692988,266651,@ES#
2003-01-10,925.75,933.0,915.0,926.5,690747,270630,@ES#
2003-01-13,926.5,937.0,920.75,926.5,529881,269097,@ES#
2003-01-14,926.25,931.5,920.5,929.25,593736,283027,@ES#
2003-01-15,927.25,932.75,915.5,921.0,629940,276680,@ES#
2003-01-16,919.75,925.75,910.75,916.5,487766,286313,@ES#
2003-01-17,917.0,923.5,897.75,903.0,543175,279014,@ES#
2003-01-21,902.75,907.25,886.0,888.5,638599,282584,@ES#
2003-01-22,888.5,891.75,876.0,877.5,689708,278963,@ES#
2003-01-23,878.25,889.75,875.5,883.0,769997,296138,@ES#
2003-01-24,883.0,885.5,857.5,860.25,811260,281737,@ES#
2003-01-27,860.25,863.75,842.25,847.25,744864,260502,@ES#
2003-01-28,848.25,860.0,845.0,854.5,837194,264028,@ES#
2003-01-29,855.25,867.75,836.0,860.75,749026,265709,@ES#
2003-01-30,861.0,866.75,839.75,840.0,803363,277682,@ES#
2003-01-31,840.5,857.75,836.5,854.75,570817,289617,@ES#
2003-02-03,854.75,864.0,854.0,858.5,745146,277784,@ES#
2003-02-04,858.5,861.0,838.25,849.25,772111,306112,@ES#
2003-02-05,847.5,861.0,840.5,844.5,792160,325117,@ES#
2003-02-06,844.25,845.5,832.0,840.5,685739,330524,@ES#
2003-02-07,839.5,849.5,825.25,830.5,651782,332547,@ES#
2003-02-10,831.5,836.75,822.25,836.0,662257,322594,@ES#
2003-02-11,836.5,842.75,823.5,829.75,621031,363230,@ES#
2003-02-12,829.75,831.5,816.25,816.75,737983,377035,@ES#
2003-02-13,817.5,822.5,805.25,819.0,728304,369056,@ES#
2003-02-14,819.75,837.25,813.75,837.0,539924,358611,@ES#
2003-02-18,839.25,853.25,836.0,851.5,504106,354313,@ES#
2003-02-19,851.25,852.0,837.75,846.75,591807,356563,@ES#
2003-02-20,846.75,851.75,835.75,838.75,678149,365512,@ES#
2003-02-21,838.75,852.25,829.75,847.25,542988,359891,@ES#
2003-02-24,847.5,850.5,831.0,832.5,819003,358916,@ES#
2003-02-25,832.5,840.0,817.25,839.75,669295,372147,@ES#
2003-02-26,839.75,843.25,825.75,827.75,727179,409768,@ES#
2003-02-27,827.5,842.75,825.25,838.25,570643,404699,@ES#
2003-02-28,838.25,847.0,833.75,841.0,543434,395000,@ES#
2003-03-03,844.0,853.0,832.0,835.5,532251,395284,@ES#
2003-03-04,835.25,836.75,821.25,822.25,695326,402006,@ES#
2003-03-05,822.25,830.0,818.25,829.5,736438,386489,@ES#
2003-03-06,829.5,830.5,819.0,821.75,852486,387349,@ES#
2003-03-07,819.75,829.75,809.0,828.5,612961,401582,@ES#
2003-03-10,827.5,828.25,805.5,807.75,754225,400763,@ES#
2003-03-11,807.5,814.75,799.5,800.25,860384,395564,@ES#
2003-03-12,800.5,806.0,788.5,805.75,123778,405755,@ES#
2003-03-13,804.5,832.5,803.0,832.25,849531,191797,@ES#
2003-03-14,832.0,842.25,826.75,833.0,1062158,271797,@ES#
2003-03-17,830.75,862.75,822.0,861.0,834389,366387,@ES#
2003-03-18,861.25,872.75,856.0,866.25,715286,337851,@ES#
2003-03-19,866.5,874.5,860.25,872.75,852724,387314,@ES#
2003-03-20,872.75,879.25,857.25,874.75,794238,421345,@ES#
2003-03-21,874.75,895.75,873.0,893.25,687937,466209,@ES#
2003-03-24,885.5,885.5,860.5,863.5,732336,440253,@ES#
2003-03-25,863.75,879.25,856.0,872.25,578963,443259,@ES#
2003-03-26,872.75,875.5,864.75,868.0,585477,448857,@ES#
2003-03-27,868.0,873.5,856.75,867.5,458814,450848,@ES#
2003-03-28,867.5,869.5,859.25,863.0,630719,449086,@ES#
2003-03-31,858.5,859.75,840.0,847.0,760250,436718,@ES#
2003-04-01,844.5,860.5,843.0,856.75,611519,449801,@ES#
2003-04-02,856.0,884.25,855.0,877.25,639920,480228,@ES#
2003-04-03,877.75,888.75,873.0,873.25,666042,476747,@ES#
2003-04-04,873.5,884.25,870.75,878.5,765210,483387,@ES#
2003-04-07,883.0,905.0,876.25,877.0,602917,503414,@ES#
2003-04-08,877.25,888.0,873.5,878.25,833364,503233,@ES#
2003-04-09,878.5,887.25,864.25,866.75,559964,513145,@ES#
2003-04-10,867.0,872.5,861.5,871.75,593142,520339,@ES#
2003-04-11,871.75,883.5,864.75,868.25,543994,523704,@ES#
2003-04-14,871.0,886.5,865.5,886.0,604042,551308,@ES#
2003-04-15,886.5,894.0,880.0,893.75,664044,562598,@ES#
2003-04-16,896.25,903.5,876.5,878.75,507634,562541,@ES#
2003-04-17,879.5,893.5,877.75,891.25,472416,569422,@ES#
2003-04-21,893.0,897.75,886.75,893.0,818659,580034,@ES#
2003-04-22,892.5,912.0,885.0,909.5,605923,617694,@ES#
2003-04-23,910.25,919.5,908.5,917.5,594108,637888,@ES#
2003-04-24,917.5,918.5,905.5,909.75,537876,643869,@ES#
2003-04-25,909.75,912.75,896.0,898.5,651661,636721,@ES#
2003-04-28,899.0,918.0,895.25,913.5,764689,682772,@ES#
